1	Oxidoreductases
1.6.5.6	p-benzoquinone reductase (NADPH)
1.6.5.7	2-hydroxy-1,4-benzoquinone reductase
1.6.5.8	NADH:ubiquinone reductase (Na(+)-transporting)
1.6.5.9	NADH:ubiquinone reductase (non-electrogenic)
1.6.5.10	NADPH dehydrogenase (quinone)
1.6.5.11	NADH dehydrogenase (quinone)
1.6.5.12	Demethylphylloquinone reductase
1.6.6.1	Transferred entry: 1.7.1.1
1.6.6.2	Transferred entry: 1.7.1.2
1.6.6.3	Transferred entry: 1.7.1.3
1.6.6.4	Transferred entry: 1.7.1.4
1.6.6.5	Transferred entry: 1.7.2.1
1.6.6.6	Transferred entry: 1.7.1.5
1.6.6.7	Transferred entry: 1.7.1.6
1.6.6.8	Transferred entry: 1.7.1.7
1.6.6.9	Trimethylamine-N-oxide reductase
1.6.6.10	Transferred entry: 1.7.1.9
1.6.6.11	Transferred entry: 1.7.1.10
1.6.6.12	Transferred entry: 1.7.1.11
1.6.6.13	Transferred entry: 1.7.1.12
1.6.7.1	Transferred entry: 1.18.1.2
1.6.7.2	Transferred entry: 1.18.1.1
1.6.8.1	Transferred entry: 1.5.1.38, 1.5.1.39 and 1.5.1.41
1.6.8.2	Transferred entry: 1.5.1.30
1.6.99.1	NADPH dehydrogenase
1.6.99.2	Transferred entry: 1.6.5.2
1.6.99.3	NADH dehydrogenase
1.6.99.4	Transferred entry: 1.18.1.2
1.6.99.5	Transferred entry: 1.6.5.11
1.6.99.6	Transferred entry: 1.6.5.10
1.6.99.7	Transferred entry: 1.5.1.34
1.6.99.8	Transferred entry: 1.16.1.3
1.6.99.9	Transferred entry: 1.16.1.4
1.6.99.10	Transferred entry: 1.5.1.34
1.6.99.11	Transferred entry: 1.16.1.5
1.6.99.12	Transferred entry: 1.16.1.6
1.6.99.13	Transferred entry: 1.16.1.7
1.7.1.1	Nitrate reductase (NADH)
1.7.1.2	Nitrate reductase (NAD(P)H)
1.7.1.3	Nitrate reductase (NADPH)
1.7.1.4	Nitrite reductase (NAD(P)H)
1.7.1.5	Hyponitrite reductase
1.7.1.6	Azobenzene reductase
1.7.1.7	GMP reductase
1.7.1.8	Deleted entry
1.7.1.9	Nitroquinoline-N-oxide reductase
1.7.1.10	Hydroxylamine reductase (NADH)
1.7.1.11	4-(dimethylamino)phenylazoxybenzene reductase
1.7.1.12	N-hydroxy-2-acetamidofluorene reductase
1.7.1.13	PreQ(1) synthase
1.7.1.14	Nitric oxide reductase (NAD(P)(+), nitrous oxide-forming)
1.7.1.15	Nitrite reductase (NADH)
1.7.2.1	Nitrite reductase (NO-forming)
1.7.2.2	Nitrite reductase (cytochrome; ammonia-forming)
1.7.2.3	Trimethylamine-N-oxide reductase (cytochrome c)
1.7.2.4	Nitrous-oxide reductase
1.7.2.5	Nitric-oxide reductase (cytochrome c)
1.7.2.6	Hydroxylamine dehydrogenase
1.7.3.1	Nitroalkane oxidase
1.7.3.2	Acetylindoxyl oxidase
1.7.3.3	Factor independent urate hydroxylase
1.7.3.4	Transferred entry: 1.7.2.6 and 1.7.3.6
1.7.3.5	3-aci-nitropropanoate oxidase
1.7.3.6	Hydroxylamine oxidase (cytochrome)
1.7.5.1	Nitrate reductase (quinone)
1.7.5.2	Nitric oxide reductase (menaquinol)
1.7.6.1	Nitrite dismutase
1.7.7.1	Ferredoxin--nitrite reductase
1.7.7.2	Ferredoxin--nitrate reductase
1.7.99.1	Hydroxylamine reductase
1.7.99.2	Deleted entry
1.7.99.3	Transferred entry: 1.7.2.1
1.7.99.4	Nitrate reductase
1.7.99.5	Transferred entry: 1.5.1.20
1.7.99.6	Transferred entry: 1.7.2.4
1.7.99.7	Transferred entry: 1.7.2.5
1.7.99.8	Hydrazine oxidoreductase
1.8.1.1	Deleted entry
1.8.1.2	Assimilatory sulfite reductase (NADPH)
1.8.1.3	Hypotaurine dehydrogenase
1.8.1.4	Dihydrolipoyl dehydrogenase
1.8.1.5	2-oxopropyl-CoM reductase (carboxylating)
1.8.1.6	Cystine reductase
1.8.1.7	Glutathione-disulfide reductase
1.8.1.8	Protein-disulfide reductase
1.8.1.9	Thioredoxin-disulfide reductase
1.8.1.10	CoA-glutathione reductase
1.8.1.11	Asparagusate reductase
1.8.1.12	Trypanothione-disulfide reductase
1.8.1.13	Bis-gamma-glutamylcystine reductase
1.8.1.14	CoA-disulfide reductase
1.8.1.15	Mycothione reductase
1.8.1.16	Glutathione amide reductase
1.8.1.17	Dimethylsulfone reductase
1.8.1.18	NAD(P)H sulfur oxidoreductase (CoA-dependent)
1.8.1.19	Sulfide dehydrogenase
1.8.2.1	Sulfite dehydrogenase
1.8.2.2	Thiosulfate dehydrogenase
1.8.2.3	Sulfide-cytochrome-c reductase (flavocytochrome c)
1.8.2.4	Dimethyl sulfide:cytochrome c2 reductase
1.8.3.1	Sulfite oxidase
1.8.3.2	Thiol oxidase
1.8.3.3	Glutathione oxidase
1.8.3.4	Methanethiol oxidase
1.8.3.5	Prenylcysteine oxidase
1.8.3.6	Farnesylcysteine lyase
1.8.4.1	Glutathione--homocystine transhydrogenase
1.8.4.2	Protein-disulfide reductase (glutathione)
1.8.4.3	Glutathione--CoA-glutathione transhydrogenase
1.8.4.4	Glutathione--cystine transhydrogenase
1.8.4.5	Transferred entry: 1.8.4.13 and 1.8.4.14
1.8.4.6	Transferred entry: 1.8.4.11
1.8.4.7	Enzyme-thiol transhydrogenase (glutathione-disulfide)
1.8.4.8	Phosphoadenylyl-sulfate reductase (thioredoxin)
1.8.4.9	Adenylyl-sulfate reductase (glutathione)
1.8.4.10	Adenylyl-sulfate reductase (thioredoxin)
1.8.4.11	Peptide-methionine (S)-S-oxide reductase
1.8.4.12	Peptide-methionine (R)-S-oxide reductase
1.8.4.13	L-methionine (S)-S-oxide reductase
1.8.4.14	L-methionine (R)-S-oxide reductase
1.8.5.1	Glutathione dehydrogenase (ascorbate)
1.8.5.2	Thiosulfate dehydrogenase (quinone)
1.8.5.3	Dimethylsulfoxide reductase
1.8.5.4	Sulfide:quinone reductase
1.8.6.1	Transferred entry: 2.5.1.18
1.8.7.1	Assimilatory sulfite reductase (ferredoxin)
1.8.7.2	Ferredoxin:thioredoxin reductase
1.8.98.1	CoB--CoM heterodisulfide reductase
1.8.98.2	Sulfiredoxin
1.8.98.3	Sulfite reductase (coenzyme F420)
1.8.99.1	Deleted entry
1.8.99.2	Adenylyl-sulfate reductase
1.8.99.3	Hydrogensulfite reductase
1.8.99.4	Transferred entry: 1.8.4.8
1.8.99.5	Dissimilatory sulfite reductase
1.9.3.1	Cytochrome-c oxidase
1.9.3.2	Transferred entry: 1.7.2.1
1.9.6.1	Nitrate reductase (cytochrome)
1.9.98.1	Iron--cytochrome-c reductase
1.9.99.1	Transferred entry: 1.9.98.1
1.10.1.1	Trans-acenaphthene-1,2-diol dehydrogenase
1.10.2.1	L-ascorbate--cytochrome-b5 reductase
1.10.2.2	Quinol--cytochrome-c reductase
1.10.3.1	Catechol oxidase
1.10.3.2	Laccase
1.10.3.3	L-ascorbate oxidase
1.10.3.4	o-aminophenol oxidase
1.10.3.5	3-hydroxyanthranilate oxidase
1.10.3.6	Rifamycin-B oxidase
1.10.3.7	Transferred entry: 1.21.3.4
1.10.3.8	Transferred entry: 1.21.3.5
1.10.3.9	Photosystem II
1.10.3.10	Ubiquinol oxidase (H(+)-transporting)
1.10.3.11	Ubiquinol oxidase (non-electrogenic)
1.10.3.12	Menaquinol oxidase (H(+)-transporting)
1.10.3.13	Caldariellaquinol oxidase (H(+)-transporting)
1.10.3.14	Ubiquinol oxidase (electrogenic, non H(+)-transporting)
1.10.3.15	Grixazone synthase
1.10.5.1	Ribosyldihydronicotinamide dehydrogenase (quinone)
1.10.9.1	Plastoquinol--plastocyanin reductase
1.10.99.1	Transferred entry: 1.10.9.1
1.10.99.2	Transferred entry: 1.10.5.1
1.10.99.3	Transferred entry: 1.23.5.1
1.11.1.1	NADH peroxidase
1.11.1.2	NADPH peroxidase
1.11.1.3	Fatty-acid peroxidase
1.11.1.4	Transferred entry: 1.13.11.11
1.11.1.5	Cytochrome-c peroxidase
1.11.1.6	Catalase
1.11.1.7	Peroxidase
1.11.1.8	Iodide peroxidase
1.11.1.9	Glutathione peroxidase
1.11.1.10	Chloride peroxidase
1.11.1.11	L-ascorbate peroxidase
1.11.1.12	Phospholipid-hydroperoxide glutathione peroxidase
1.11.1.13	Manganese peroxidase
1.11.1.14	Lignin peroxidase
1.11.1.15	Peroxiredoxin
1.11.1.16	Versatile peroxidase
1.11.1.17	Glutathione amide-dependent peroxidase
1.11.1.18	Bromide peroxidase
1.11.1.19	Dye decolorizing peroxidase
1.11.1.20	Prostamide/prostaglandin F(2-alpha) synthase
1.11.1.21	Catalase peroxidase
1.11.1.22	Hydroperoxy fatty acid reductase
1.11.1.23	(S)-2-hydroxypropylphosphonic acid epoxidase
1.11.2.1	Unspecific peroxygenase
1.11.2.2	Myeloperoxidase
1.11.2.3	Plant seed peroxygenase
1.11.2.4	Fatty-acid peroxygenase
1.11.2.5	3-methyl-L-tyrosine peroxygenase
1.12.1.1	Transferred entry: 1.12.7.2
1.12.1.2	Hydrogen dehydrogenase
1.12.1.3	Hydrogen dehydrogenase (NADP(+))
1.12.1.4	Hydrogenase (NAD(+), ferredoxin)
1.12.1.5	Hydrogen dehydrogenase (NAD(P)(+))
1.12.2.1	Cytochrome-c3 hydrogenase
1.12.5.1	Hydrogen:quinone oxidoreductase
1.12.7.1	Transferred entry: 1.12.7.2
1.12.7.2	Ferredoxin hydrogenase
1.12.98.1	Coenzyme F420 hydrogenase
1.12.98.2	5,10-methenyltetrahydromethanopterin hydrogenase
1.12.98.3	Methanosarcina-phenazine hydrogenase
1.12.98.4	Sulfhydrogenase
1.12.99.1	Transferred entry: 1.12.98.1
1.12.99.2	Deleted entry
1.12.99.3	Transferred entry: 1.12.5.1
1.12.99.4	Transferred entry: 1.12.98.2
1.12.99.5	Transferred entry: 1.13.11.47
1.12.99.6	Hydrogenase (acceptor)
1.13.1.1	Transferred entry: 1.13.11.1
1.13.1.2	Transferred entry: 1.13.11.2
1.13.1.3	Transferred entry: 1.13.11.3
1.13.1.4	Transferred entry: 1.13.11.4
1.13.1.5	Transferred entry: 1.13.11.5
1.13.1.6	Transferred entry: 1.13.11.6
1.13.1.7	Deleted entry
1.13.1.8	Transferred entry: 1.13.11.8
1.13.1.9	Transferred entry: 1.13.11.9
1.13.1.10	Transferred entry: 1.13.11.10
1.13.1.11	Transferred entry: 1.13.99.1
1.13.1.12	Transferred entry: 1.13.11.11
1.13.1.13	Transferred entry: 1.13.11.12
1.13.11.1	Catechol 1,2-dioxygenase
1.13.11.2	Catechol 2,3-dioxygenase
1.13.11.3	Protocatechuate 3,4-dioxygenase
1.13.11.4	Gentisate 1,2-dioxygenase
1.13.11.5	Homogentisate 1,2-dioxygenase
1.13.11.6	3-hydroxyanthranilate 3,4-dioxygenase
1.13.11.7	Deleted entry
1.13.11.8	Protocatechuate 4,5-dioxygenase
1.13.11.9	2,5-dihydroxypyridine 5,6-dioxygenase
1.13.11.10	7,8-dihydroxykynurenate 8,8a-dioxygenase
1.13.11.11	Tryptophan 2,3-dioxygenase
1.13.11.12	Linoleate 13S-lipoxygenase
1.13.11.13	Deleted entry
1.13.11.14	2,3-dihydroxybenzoate 3,4-dioxygenase
1.13.11.15	3,4-dihydroxyphenylacetate 2,3-dioxygenase
1.13.11.16	3-carboxyethylcatechol 2,3-dioxygenase
1.13.11.17	Indole 2,3-dioxygenase
1.13.11.18	Persulfide dioxygenase
1.13.11.19	Cysteamine dioxygenase
1.13.11.20	Cysteine dioxygenase
1.13.11.21	Transferred entry: 1.13.11.63
1.13.11.22	Caffeate 3,4-dioxygenase
1.13.11.23	2,3-dihydroxyindole 2,3-dioxygenase
1.13.11.24	Quercetin 2,3-dioxygenase
1.13.11.25	dioxygenase
1.13.11.26	Peptide-tryptophan 2,3-dioxygenase
1.13.11.27	4-hydroxyphenylpyruvate dioxygenase
1.13.11.28	2,3-dihydroxybenzoate 2,3-dioxygenase
1.13.11.29	Stizolobate synthase
1.13.11.30	Stizolobinate synthase
1.13.11.31	Arachidonate 12-lipoxygenase
1.13.11.32	Transferred entry: 1.13.12.16
1.13.11.33	Arachidonate 15-lipoxygenase
1.13.11.34	Arachidonate 5-lipoxygenase
1.13.11.35	Pyrogallol 1,2-oxygenase
1.13.11.36	Chloridazon-catechol dioxygenase
1.13.11.37	Hydroxyquinol 1,2-dioxygenase
1.13.11.38	1-hydroxy-2-naphthoate 1,2-dioxygenase
1.13.11.39	Biphenyl-2,3-diol 1,2-dioxygenase
1.13.11.40	Arachidonate 8-lipoxygenase
1.13.11.41	2,4'-dihydroxyacetophenone dioxygenase
1.13.11.42	Deleted entry
1.13.11.43	Lignostilbene alpha-beta-dioxygenase
1.13.11.44	Transferred entry: 1.13.11.60 and 5.4.4.6
1.13.11.45	Linoleate 11-lipoxygenase
1.13.11.46	4-hydroxymandelate synthase
1.13.11.47	3-hydroxy-4-oxoquinoline 2,4-dioxygenase
1.13.11.48	3-hydroxy-2-methylquinolin-4-one 2,4-dioxygenase
1.13.11.49	Chlorite O(2)-lyase
1.13.11.50	Acetylacetone-cleaving enzyme
1.13.11.51	9-cis-epoxycarotenoid dioxygenase
1.13.11.52	Indoleamine 2,3-dioxygenase
1.13.11.53	Acireductone dioxygenase (Ni(2+)-requiring)
1.13.11.54	Acireductone dioxygenase (Fe(2+)-requiring)
1.13.11.55	Sulfur oxygenase/reductase
1.13.11.56	1,2-dihydroxynaphthalene dioxygenase
1.13.11.57	Gallate dioxygenase
1.13.11.58	Linoleate 9S-lipoxygenase
1.13.11.59	Torulene dioxygenase
1.13.11.60	Linoleate 8R-lipoxygenase
1.13.11.61	Linolenate 9R-lipoxygenase
1.13.11.62	Linoleate 10R-lipoxygenase
1.13.11.63	Beta-carotene 15,15'-dioxygenase
1.13.11.64	5-nitrosalicylate dioxygenase
1.13.11.65	Carotenoid isomerooxygenase
1.13.11.66	Hydroquinone 1,2-dioxygenase
1.13.11.67	8'-apo-beta-carotenoid 14',13'-cleaving dioxygenase
1.13.11.68	9-cis-beta-carotene 9',10'-cleaving dioxygenase
1.13.11.69	Carlactone synthase
1.13.11.70	All-trans-10'-apo-beta-carotenal 13,14-cleaving dioxygenase
1.13.11.71	Carotenoid-9',10'-cleaving dioxygenase
1.13.11.72	2-hydroxyethylphosphonate dioxygenase
1.13.11.73	Methylphosphonate synthase
1.13.11.74	2-aminophenol 1,6-dioxygenase
1.13.11.75	All-trans-8'-apo-beta-carotenal 15,15'-oxygenase
1.13.11.76	2-amino-5-chlorophenol 1,6-dioxygenase
1.13.11.77	Oleate 10S-lipoxygenase
1.13.11.78	2-amino-1-hydroxyethylphosphonate dioxygenase (glycine-forming)
1.13.11.79	5,6-dimethylbenzimidazole synthase
1.13.11.80	(3,5-dihydroxyphenyl)acetyl-CoA 1,2-dioxygenase
1.13.11.81	7,8-dihydroneopterin oxygenase
1.13.11.82	8'-apo-carotenoid 13,14-cleaving dioxygenase
1.13.12.1	Arginine 2-monooxygenase
1.13.12.2	Lysine 2-monooxygenase
1.13.12.3	Tryptophan 2-monooxygenase
1.13.12.4	Lactate 2-monooxygenase
1.13.12.5	Renilla-luciferin 2-monooxygenase
1.13.12.6	Cypridina-luciferin 2-monooxygenase
1.13.12.7	Photinus-luciferin 4-monooxygenase (ATP-hydrolyzing)
1.13.12.8	Watasenia-luciferin 2-monooxygenase
1.13.12.9	Phenylalanine 2-monooxygenase
1.13.12.10	Deleted entry
1.13.12.11	Transferred entry: 1.14.13.8
1.13.12.12	Transferred entry: 1.13.11.67
1.13.12.13	Oplophorus-luciferin 2-monooxygenase
1.13.12.14	Transferred entry: 1.14.13.122
1.13.12.15	3,4-dihydroxyphenylalanine oxidative deaminase
1.13.12.16	Nitronate monooxygenase
1.13.12.17	Dichloroarcyriaflavin A synthase
1.13.12.18	Dinoflagellate luciferase
1.13.12.19	2-oxuglutarate dioxygenase (ethylene-forming)
1.13.12.20	Noranthrone monooxygenase
1.13.12.21	Tetracenomycin-F1 monooxygenase
1.13.12.22	Deoxynogalonate monooxygenase
1.13.99.1	Inositol oxygenase
1.13.99.2	Transferred entry: 1.14.12.10
1.13.99.3	Tryptophan 2'-dioxygenase
1.13.99.4	Transferred entry: 1.14.12.9
1.13.99.5	Transferred entry: 1.13.11.47
1.14.1.1	Transferred entry: 1.14.14.1
1.14.1.2	Transferred entry: 1.14.13.9
1.14.1.3	Transferred entry: 1.14.14.17 and 5.4.99.7
1.14.1.4	Transferred entry: 1.14.99.2
1.14.1.5	Transferred entry: 1.14.13.5
1.14.1.6	Transferred entry: 1.14.15.4
1.14.1.7	Transferred entry: 1.14.14.19
1.14.1.8	Transferred entry: 1.14.14.16
1.14.1.9	Deleted entry
1.14.1.10	Transferred entry: 1.14.99.11
1.14.1.11	Deleted entry
1.14.2.1	Transferred entry: 1.14.17.1
1.14.2.2	Transferred entry: 1.13.11.27
1.14.3.1	Transferred entry: 1.14.16.1
1.14.11.1	Gamma-butyrobetaine dioxygenase
1.14.11.2	Procollagen-proline dioxygenase
1.14.11.3	Pyrimidine-deoxynucleoside 2'-dioxygenase
1.14.11.4	Procollagen-lysine 5-dioxygenase
1.14.11.5	Transferred entry: 1.14.11.6
1.14.11.6	Thymine dioxygenase
1.14.11.7	Procollagen-proline 3-dioxygenase
1.14.11.8	Trimethyllysine dioxygenase
1.14.11.9	Flavanone 3-dioxygenase
1.14.11.10	Pyrimidine-deoxynucleoside 1'-dioxygenase
1.14.11.11	Hyoscyamine (6S)-dioxygenase
1.14.11.12	Gibberellin-44 dioxygenase
1.14.11.13	Gibberellin 2-beta-dioxygenase
1.14.11.14	6-beta-hydroxyhyoscyamine epoxidase
1.14.11.15	Gibberellin 3-beta-dioxygenase
1.14.11.16	Peptide-aspartate beta-dioxygenase
1.14.11.17	Taurine dioxygenase
1.14.11.18	Phytanoyl-CoA dioxygenase
1.14.11.19	Leucocyanidin oxygenase
1.14.11.20	Deacetoxyvindoline 4-hydroxylase
1.14.11.21	Clavaminate synthase
1.14.11.22	Flavone synthase
1.14.11.23	Flavonol synthase
1.14.11.24	2'-deoxymugineic-acid 2'-dioxygenase
1.14.11.25	Mugineic-acid 3-dioxygenase
1.14.11.26	Deacetoxycephalosporin-C hydroxylase
1.14.11.27	[Histone H3]-lysine-36 demethylase
1.14.11.28	Proline 3-hydroxylase
1.14.11.29	Hypoxia-inducible factor-proline dioxygenase
1.14.11.30	Hypoxia-inducible factor-asparagine dioxygenase
1.14.11.31	Thebaine 6-O-demethylase
1.14.11.32	Codeine 3-O-demethylase
1.14.11.33	DNA oxidative demethylase
1.14.11.34	forming)
1.14.11.35	1-deoxypentalenic acid 11-beta-hydroxylase
1.14.11.36	Pentalenolactone F synthase
1.14.11.37	Kanamycin B dioxygenase
1.14.11.38	Verruculogen synthase
1.14.11.39	L-asparagine oxygenase
1.14.11.40	Enduracididine beta-hydroxylase
1.14.11.41	L-arginine hydroxylase
1.14.11.42	tRNA(Phe) (7-(3-amino-3-carboxypropyl)wyosine(37)-C(2))-hydroxylase
1.14.11.43	(S)-dichlorprop dioxygenase (2-oxoglutarate)
1.14.11.44	(R)-dichlorprop dioxygenase (2-oxoglutarate)
1.14.11.45	L-isoleucine 4-hydroxylase
1.14.11.46	2-aminoethylphosphonate dioxygenase
1.14.11.47	50S ribosomal protein L16 3-hydroxylase
1.14.11.48	Xanthine dioxygenase
1.14.11.49	Uridine-5'-phosphate dioxygenase
1.14.12.1	Anthranilate 1,2-dioxygenase (deaminating, decarboxylating)
1.14.12.2	Transferred entry: 1.14.13.35
1.14.12.3	Benzene 1,2-dioxygenase
1.14.12.4	3-hydroxy-2-methylpyridinecarboxylate dioxygenase
1.14.12.5	5-pyridoxate dioxygenase
1.14.12.6	Transferred entry: 1.14.13.66
1.14.12.7	Phthalate 4,5-dioxygenase
1.14.12.8	4-sulfobenzoate 3,4-dioxygenase
1.14.12.9	4-chlorophenylacetate 3,4-dioxygenase
1.14.12.10	Benzoate 1,2-dioxygenase
1.14.12.11	Toluene dioxygenase
1.14.12.12	Naphthalene 1,2-dioxygenase
1.14.12.13	2-halobenzoate 1,2-dioxygenase
1.14.12.14	2-aminobenzenesulfonate 2,3-dioxygenase
1.14.12.15	Terephthalate 1,2-dioxygenase
1.14.12.16	2-hydroxyquinoline 5,6-dioxygenase
1.14.12.17	Nitric oxide dioxygenase
1.14.12.18	Biphenyl 2,3-dioxygenase
1.14.12.19	3-phenylpropanoate dioxygenase
1.14.12.20	Pheophorbide a oxygenase
1.14.12.21	Transferred entry: 1.14.13.208
1.14.12.22	Carbazole 1,9a-dioxygenase
1.14.12.23	Nitroarene dioxygenase
1.14.12.24	2,4-dinitrotoluene dioxygenase
1.14.13.1	Salicylate 1-monooxygenase
1.14.13.2	4-hydroxybenzoate 3-monooxygenase
1.14.13.3	Transferred entry: 1.14.14.9
1.14.13.4	Melilotate 3-monooxygenase
1.14.13.5	Imidazoleacetate 4-monooxygenase
1.14.13.6	Orcinol 2-monooxygenase
1.14.13.7	Phenol 2-monooxygenase (NADPH)
1.14.13.8	Flavin-containing monooxygenase
1.14.13.9	Kynurenine 3-monooxygenase
1.14.13.10	2,6-dihydroxypyridine 3-monooxygenase
1.14.13.11	Trans-cinnamate 4-monooxygenase
1.14.13.12	Benzoate 4-monooxygenase
1.14.13.13	Calcidiol 1-monooxygenase
1.14.13.14	Trans-cinnamate 2-monooxygenase
1.14.13.15	Cholestanetriol 26-monooxygenase
1.14.13.16	Cyclopentanone monooxygenase
1.14.13.17	Cholesterol 7-alpha-monooxygenase
1.14.13.18	4-hydroxyphenylacetate 1-monooxygenase
1.14.13.19	Taxifolin 8-monooxygenase
1.14.13.20	2,4-dichlorophenol 6-monooxygenase
1.14.13.21	Flavonoid 3'-monooxygenase
1.14.13.22	Cyclohexanone monooxygenase
1.14.13.23	3-hydroxybenzoate 4-monooxygenase
1.14.13.24	3-hydroxybenzoate 6-monooxygenase
1.14.13.25	Methane monooxygenase (soluble)
1.14.13.26	Transferred entry: 1.14.18.4
1.14.13.27	4-aminobenzoate 1-monooxygenase
1.14.13.28	3,9-dihydroxypterocarpan 6A-monooxygenase
1.14.13.29	4-nitrophenol 2-monooxygenase
1.14.13.30	Leukotriene-B(4) 20-monooxygenase
1.14.13.31	2-nitrophenol 2-monooxygenase
1.14.13.32	Albendazole monooxygenase
1.14.13.33	4-hydroxybenzoate 3-monooxygenase (NAD(P)H)
1.14.13.34	Leukotriene-E(4) 20-monooxygenase
1.14.13.35	Anthranilate 3-monooxygenase (deaminating)
1.14.13.36	5-O-(4-coumaroyl)-D-quinate 3'-monooxygenase
1.14.13.37	Methyltetrahydroprotoberberine 14-monooxygenase
1.14.13.38	Anhydrotetracycline monooxygenase
1.14.13.39	Nitric-oxide synthase (NADPH)
1.14.13.40	Anthraniloyl-CoA monooxygenase
1.14.13.41	Tyrosine N-monooxygenase
1.14.13.42	Deleted entry
1.14.13.43	Questin monooxygenase
1.14.13.44	2-hydroxybiphenyl 3-monooxygenase
1.14.13.45	Transferred entry: 1.14.18.2
1.14.13.46	(-)-menthol monooxygenase
1.14.13.47	(S)-limonene 3-monooxygenase
1.14.13.48	(S)-limonene 6-monooxygenase
1.14.13.49	(S)-limonene 7-monooxygenase
1.14.13.50	Pentachlorophenol monooxygenase
1.14.13.51	6-oxocineole dehydrogenase
1.14.13.52	Isoflavone 3'-hydroxylase
1.14.13.53	4'-methoxyisoflavone 2'-hydroxylase
1.14.13.54	Ketosteroid monooxygenase
1.14.13.55	Protopine 6-monooxygenase
1.14.13.56	Dihydrosanguinarine 10-monooxygenase
1.14.13.57	Dihydrochelirubine 12-monooxygenase
1.14.13.58	Benzoyl-CoA 3-monooxygenase
1.14.13.59	L-lysine N(6)-monooxygenase (NADPH)
1.14.13.60	Transferred entry: 1.14.13.100
1.14.13.61	2-hydroxyquinoline 8-monooxygenase
1.14.13.62	4-hydroxyquinoline 3-monooxygenase
1.14.13.63	3-hydroxyphenylacetate 6-hydroxylase
1.14.13.64	4-hydroxybenzoate 1-hydroxylase
1.14.13.65	Deleted entry
1.14.13.66	2-hydroxycyclohexanone 2-monooxygenase
1.14.13.67	Quinine 3-monooxygenase
1.14.13.68	4-hydroxyphenylacetaldehyde oxime monooxygenase
1.14.13.69	Alkene monooxygenase
1.14.13.70	Sterol 14-alpha-demethylase
1.14.13.71	N-methylcoclaurine 3'-monooxygenase
1.14.13.72	Methylsterol monooxygenase
1.14.13.73	Tabersonine 16-hydroxylase
1.14.13.74	7-deoxyloganin 7-hydroxylase
1.14.13.75	Vinorine hydroxylase
1.14.13.76	Taxane 10-beta-hydroxylase
1.14.13.77	Taxane 13-alpha-hydroxylase
1.14.13.78	Ent-kaurene oxidase
1.14.13.79	Ent-kaurenoic acid oxidase
1.14.13.80	(R)-limonene 6-monooxygenase
1.14.13.81	Magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase
1.14.13.82	Vanillate monooxygenase
1.14.13.83	Precorrin-3B synthase
1.14.13.84	4-hydroxyacetophenone monooxygenase
1.14.13.85	Glyceollin synthase
1.14.13.86	Transferred entry: 1.14.13.136
1.14.13.87	Licodione synthase
1.14.13.88	Flavonoid 3',5'-hydroxylase
1.14.13.89	Isoflavone 2'-hydroxylase
1.14.13.90	Zeaxanthin epoxidase
1.14.13.91	Deoxysarpagine hydroxylase
1.14.13.92	Phenylacetone monooxygenase
1.14.13.93	(+)-abscisic acid 8'-hydroxylase
1.14.13.94	Lithocholate 6-beta-hydroxylase
1.14.13.95	Transferred entry: 1.14.18.8
1.14.13.96	5-beta-cholestane-3-alpha,7-alpha-diol 12-alpha-hydroxylase
1.14.13.97	Taurochenodeoxycholate 6-alpha-hydroxylase
1.14.13.98	Cholesterol 24-hydroxylase
1.14.13.99	24-hydroxycholesterol 7-alpha-hydroxylase
1.14.13.100	25/26-hydroxycholesterol 7-alpha-hydroxylase
1.14.13.101	Senecionine N-oxygenase
1.14.13.102	Psoralen synthase
1.14.13.103	8-dimethylallylnaringenin 2'-hydroxylase
1.14.13.104	(+)-menthofuran synthase
1.14.13.105	Monocyclic monoterpene ketone monooxygenase
1.14.13.106	Epi-isozizaene 5-monooxygenase
1.14.13.107	Limonene 1,2-monooxygenase
1.14.13.108	Abieta-7,13-diene hydroxylase
1.14.13.109	Abieta-7,13-dien-18-ol hydroxylase
1.14.13.110	Geranylgeraniol 18-hydroxylase
1.14.13.111	Methanesulfonate monooxygenase
1.14.13.112	3-epi-6-deoxocathasterone 23-monooxygenase
1.14.13.113	FAD-dependent urate hydroxylase
1.14.13.114	6-hydroxynicotinate 3-monooxygenase
1.14.13.115	Angelicin synthase
1.14.13.116	Geranylhydroquinone 3''-hydroxylase
1.14.13.117	Isoleucine N-monooxygenase
1.14.13.118	Valine N-monooxygenase
1.14.13.119	5-epiaristolochene 1,3-dihydroxylase
1.14.13.120	Costunolide synthase
1.14.13.121	Premnaspirodiene oxygenase
1.14.13.122	Chlorophyllide-a oxygenase
1.14.13.123	Germacrene A hydroxylase
1.14.13.124	Phenylalanine N-monooxygenase
1.14.13.125	Tryptophan N-monooxygenase
1.14.13.126	Vitamin D(3) 24-hydroxylase
1.14.13.127	3-(3-hydroxy-phenyl)propanoic acid hydroxylase
1.14.13.128	7-methylxanthine demethylase
1.14.13.129	Beta-carotene 3-hydroxylase
1.14.13.130	Pyrrole-2-carboxylate monooxygenase
1.14.13.131	Dimethyl-sulfide monooxygenase
1.14.13.132	Transferred entry: 1.14.14.17
1.14.13.133	Pentalenene oxygenase
1.14.13.134	Beta-amyrin 11-oxidase
1.14.13.135	1-hydroxy-2-naphthoate hydroxylase
